,JobTitle,Require,Link,Year,Rank
118,Java Developer,"J2EE,Java,Spring,English - Good,Kotlin",https://topdev.vn/viec-lam/java-developer-mgm-technology-partners-vietnam-2029664,2 năm,Middle
119,Presale Engineer (System Security/Business Analyst),IT Presales,https://topdev.vn/viec-lam/presale-engineer-system-security-business-analyst-vietsunshine-2029662,3 năm,Senior
120,"Android Developer (Java, Kotlin) [Attractive Salary]","Android,Java,Kotlin",https://topdev.vn/viec-lam/android-developer-java-kotlin-attractive-salary-isb-vietnam-2029661,1 năm,"Junior,Middle"
121,Mid – Sr Fullstack Developer,"CSS,Java,JavaScript,Ruby on Rails,Python,NodeJS,HTML,Full-Stack",https://topdev.vn/viec-lam/mid-sr-fullstack-developer-isb-vietnam-2029660,3 năm,"Middle,Senior"
122,"Middle/Senior Java Developer (SPRING, ENGLISH)","Java,English,Algorithm",https://topdev.vn/viec-lam/middle-senior-java-developer-spring-english-noveo-group-2029823,3 năm,"Middle,Senior"
123,SAP FSCM/ Treasury Senior Consultant (Local/ Expat),"SAP,SAP Consultant",https://topdev.vn/viec-lam/sap-fscm-treasury-senior-consultant-local-expat-kpmg-viet-nam-2029799,2 năm,Senior
124,Frontend Developer (ReactJS),"JavaScript,Front-End,ReactJS,HTML & CSS",https://topdev.vn/viec-lam/frontend-developer-reactjs-mgm-technology-partners-vietnam-2029667,2 năm,Middle
125,DevOps Engineer,"Linux,DevOps,AWS,Cloud,CI/CD",https://topdev.vn/viec-lam/devops-engineer-mgm-technology-partners-vietnam-2029666,2 năm,Middle
126,[Hochiminh/Hanoi] Technical Leader,"J2EE,React Native,English,Technical Leader,Software Developer",https://topdev.vn/viec-lam/hochiminh-hanoi-technical-leader-ntt-data-vietnam-2029909,3 năm,Trưởng Nhóm
127,[Hochiminh] Senior Development Manager,"Project Manager,Japanese - N2,Problem Solving Skill,Software Developer,English - Good",https://topdev.vn/viec-lam/hochiminh-senior-development-manager-ntt-data-vietnam-2029908,10 năm,Trưởng phòng
128,Game Developer (Unity 3D),"C#,Unity3d",https://topdev.vn/viec-lam/game-developer-unity-3d-kamora-2029893,2 năm,"Middle,Senior"
129,IT - CHUYÊN VIÊN VẬN HÀNH ỨNG DỤNG E-BANKING,"Oracle,Java,C#",https://topdev.vn/viec-lam/it-chuyen-vien-van-hanh-ung-dung-e-banking-ngan-hang-a-chau-acb-2029824,3 năm,"Middle,Senior"
130,[Khối Ngân hàng số] CGCC/CG/CVCC Vận hành và phát triển hệ thống (DevOps),"DevOps,Fintech",https://topdev.vn/viec-lam/khoi-ngan-hang-so-cgcc-cg-cvcc-van-hanh-va-phat-trien-he-thong-devops-ngan-hang-tmcp-an-binh-abbank-2029953,4 năm,Senior
131,Information Security,"System Admin,Database,System Security",https://topdev.vn/viec-lam/information-security-ngan-hang-tmcp-an-binh-abbank-2029952,2 năm,"Middle,Senior"
132,Web Developer (ReactJS/NextJS/NodeJS),"NodeJS,ReactJS,Web Developer,NextJS",https://topdev.vn/viec-lam/web-developer-reactjs-nextjs-nodejs-quick-vietnam-2029926,2 năm,"Middle,Senior"
133,"Manager/Project Manager (PM, Japanese N3+)","Manager,Project Manager,Japanese,BSE Leader,Project Leader",https://topdev.vn/viec-lam/manager-project-manager-pm-japanese-n3-nec-vietnam-2029917,5 năm,"Trưởng phòng,Trưởng Nhóm"
134,WordPress Back-end Developer with WooCommerce Expertise,"PHP,MySQL,WordPress,Back-End,Restful Api,Woocommerce",https://topdev.vn/viec-lam/wordpress-back-end-developer-with-woocommerce-expertise-bin-corporation-group-viet-nam-2029915,06 tháng,Fresher
135,QA Manager,"Manager,QA",https://topdev.vn/viec-lam/qa-manager-the-rep-office-of-styl-solutions-pte-ltd-in-hcmc-2029974,5 năm,"Trưởng phòng,Senior"
136,QA Engineer (Automation/ Manual),"Tester,QA/QC,Manual Test,Automation QA",https://topdev.vn/viec-lam/qa-engineer-automation-manual-the-rep-office-of-styl-solutions-pte-ltd-in-hcmc-2029973,3 năm,Senior
137,TECHNICAL LEADER,Technical Leader,https://topdev.vn/viec-lam/technical-leader-the-rep-office-of-styl-solutions-pte-ltd-in-hcmc-2029972,5 năm,Senior
